name,guard_name,prefix

admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-details,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-permanent-delete,admin,Admin

role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-details,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-permanent-delete,admin,Role

permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-details,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-permanent-delete,admin,Permission

settings-access,admin,Settings
report-view,admin,Report

product-list,admin,Product
product-create,admin,Product
product-edit,admin,Product
product-delete,admin,Product

category-manage,admin,Product
brand-manage,admin,Product

purchase-list,admin,Purchase
purchase-create,admin,Purchase
purchase-edit,admin,Purchase
purchase-delete,admin,Purchase

supplier-manage,admin,Supplier
customer-manage,admin,Customer

expense-list,admin,Expense
expense-create,admin,Expense
expense-edit,admin,Expense
expense-delete,admin,Expense

pos-access,admin,Sales
sale-create,admin,Sales
sale-return,admin,Sales
invoice-print,admin,Sales

customer-create,admin,Customer
customer-list,admin,Customer

product-view,admin,Product
stock-view,admin,Inventory
